iter	Logloss
0	0.5910989378
1	0.5361599996
2	0.5053758754
3	0.4879864368
4	0.4779631672
5	0.4717069992
6	0.4660001887
7	0.463302219
8	0.460736829
9	0.4576509726
10	0.4558919965
11	0.4542376225
12	0.4525549312
13	0.4513896751
14	0.4504076672
15	0.4492990334
16	0.4479817239
17	0.4468426745
18	0.4461154308
19	0.445338852
20	0.4445360048
21	0.4433395398
22	0.4424703863
23	0.4416335984
24	0.4412028551
25	0.4405814532
26	0.4401051824
27	0.4396571878
28	0.4392010239
29	0.4386936896
30	0.4380006347
31	0.437407371
32	0.4368212104
33	0.4362135644
34	0.4358678397
35	0.4353790073
36	0.4351232529
37	0.4344582049
38	0.4340248157
39	0.4335751772
40	0.4332406638
41	0.4327909354
42	0.4323835409
43	0.4319368102
44	0.4315032515
45	0.4310857665
46	0.4306249426
47	0.4301950242
48	0.4297669015
49	0.4292479946
50	0.4288319714
51	0.4284637177
52	0.4281486817
53	0.4276570279
54	0.4272286225
55	0.4268751757
56	0.4264586476
57	0.4257464132
58	0.4252606009
59	0.4248451672
60	0.4242706766
61	0.4236738584
62	0.4231320675
63	0.4225454834
64	0.4222749789
65	0.4216778801
66	0.4210927287
67	0.4207508871
68	0.4203925429
69	0.419905354
70	0.4196188999
71	0.4190821723
72	0.4185142452
73	0.418101601
74	0.4175182196
75	0.4171439952
76	0.4167069985
77	0.4161342313
78	0.4157331699
79	0.4153494915
80	0.4149868261
81	0.4145285928
82	0.4141860795
83	0.4139466721
84	0.4135606693
85	0.4130345116
86	0.4125807837
87	0.4123850193
88	0.4118828982
89	0.4113809361
90	0.411183865
91	0.4107375779
92	0.4101914929
93	0.4098492486
94	0.4094811136
95	0.4090304902
96	0.4086632606
97	0.4081161552
98	0.4075480214
99	0.4073013804
100	0.4069274509
101	0.4065755197
102	0.4063219257
103	0.405966592
104	0.4058011787
105	0.4053111544
106	0.4050362859
107	0.404573614
108	0.4041280286
109	0.4038053768
110	0.4035033433
111	0.4031902262
112	0.4028296373
113	0.4025480234
114	0.4020177585
115	0.4016465923
116	0.4013633464
117	0.4009223918
118	0.4006159393
119	0.4003779962
120	0.4000198221
121	0.3995501909
122	0.3991672049
123	0.3988715503
124	0.3986174858
125	0.3982335263
126	0.3979611533
127	0.3979236982
128	0.3976229846
129	0.3972153079
130	0.3968199645
131	0.396495185
132	0.3961473783
133	0.3959672275
134	0.3955876995
135	0.3953154467
136	0.3949986869
137	0.3946737499
138	0.3943628164
139	0.3940920187
140	0.3936783202
141	0.3933107803
142	0.3929694155
143	0.3926378468
144	0.3923177517
145	0.3920548769
146	0.3916323024
147	0.3911822682
148	0.390895139
149	0.3906307163
150	0.3902762255
151	0.390247366
152	0.3899873427
153	0.3896149883
154	0.3894563027
155	0.3890018974
156	0.3886553407
157	0.3882513103
158	0.3880478876
159	0.3877515859
160	0.3874031173
161	0.3871696411
162	0.3868732732
163	0.3864328854
164	0.3863787724
165	0.3859928224
166	0.3856784351
167	0.385425201
168	0.3851126316
169	0.3848635641
170	0.3845173396
171	0.3842707976
172	0.3839801763
173	0.3835919835
174	0.3832095367
175	0.3828683709
176	0.3825411132
177	0.3822548374
178	0.3818985887
179	0.3816335723
180	0.3815085007
181	0.3811711799
182	0.3808428601
183	0.3804069375
184	0.3801860275
185	0.3799373497
186	0.3796305873
187	0.3792495351
188	0.3788361901
189	0.378485198
190	0.3781821635
191	0.3778909226
192	0.377545153
193	0.3772390061
194	0.3767932198
195	0.376308342
196	0.375858249
197	0.3756341785
198	0.3753114281
199	0.3749490155
200	0.3745891179
201	0.3742016083
202	0.3740415745
203	0.3740262235
204	0.3736460717
205	0.3732664512
206	0.3730847999
207	0.3727476918
208	0.3724545484
209	0.3722009661
210	0.3718617298
211	0.3715112101
212	0.3712799851
213	0.3710812495
214	0.3707910577
215	0.370537733
216	0.3701714868
217	0.3698717289
218	0.369510297
219	0.3691556226
220	0.3688458021
221	0.3685396738
222	0.3682147407
223	0.3680189622
224	0.3678388171
225	0.3674637341
