iter	Passed	Remaining
0	3	3735
1	7	3650
2	11	3725
3	14	3707
4	18	3678
5	21	3621
6	25	3575
7	29	3626
8	32	3609
9	36	3598
10	39	3584
11	43	3572
12	46	3566
13	51	3593
14	55	3621
15	60	3739
16	70	4058
17	76	4184
18	81	4187
19	84	4148
20	88	4103
21	91	4068
22	95	4049
23	98	4017
24	102	3988
25	105	3963
26	109	3950
27	113	3953
28	117	3937
29	122	3946
30	126	3961
31	130	3949
32	134	3937
33	137	3920
34	142	3935
35	146	3919
36	149	3899
37	153	3881
38	157	3870
39	160	3855
40	163	3832
41	168	3836
42	171	3821
43	175	3803
44	179	3801
45	182	3789
46	186	3773
47	189	3757
48	192	3742
49	196	3728
50	199	3719
51	203	3717
52	207	3701
53	210	3695
54	214	3682
55	217	3669
56	221	3661
57	224	3649
58	228	3643
59	232	3637
60	235	3628
61	239	3625
62	243	3616
63	246	3609
64	250	3605
65	255	3608
66	259	3607
67	263	3608
68	267	3610
69	271	3602
70	275	3603
71	278	3594
72	282	3590
73	286	3586
74	290	3577
75	293	3569
76	297	3563
77	300	3556
78	304	3548
79	307	3540
80	311	3534
81	315	3532
82	319	3526
83	322	3518
84	326	3510
85	329	3504
86	333	3501
87	336	3492
88	340	3484
89	344	3479
90	348	3479
91	352	3476
92	355	3469
93	359	3464
94	363	3459
95	367	3456
96	370	3449
97	374	3445
98	378	3442
99	381	3436
100	386	3438
101	389	3433
102	393	3426
103	396	3419
104	400	3411
105	403	3404
106	407	3398
107	411	3395
108	414	3388
109	417	3381
110	421	3375
111	424	3369
112	428	3364
113	431	3357
114	435	3351
115	438	3345
116	442	3341
117	447	3347
118	451	3342
119	455	3338
120	459	3335
121	463	3335
122	467	3335
123	471	3334
124	475	3329
125	479	3323
126	482	3317
127	486	3313
128	490	3313
129	494	3309
130	498	3304
131	501	3298
132	505	3294
133	508	3288
134	512	3284
135	516	3280
136	519	3274
137	523	3269
138	526	3264
139	530	3258
140	533	3252
141	537	3246
142	540	3239
143	544	3233
144	547	3226
145	550	3221
146	554	3216
147	557	3211
148	561	3205
149	564	3200
150	568	3194
151	571	3190
152	575	3184
153	578	3178
154	582	3173
155	585	3168
156	589	3164
157	593	3160
158	596	3154
159	599	3149
160	603	3143
161	606	3137
162	610	3132
163	613	3127
164	616	3121
165	619	3114
166	623	3109
167	627	3108
168	631	3102
169	634	3097
170	638	3093
171	642	3091
172	645	3086
173	649	3085
174	653	3079
175	657	3076
176	660	3073
177	665	3071
178	669	3069
179	673	3067
180	676	3062
181	680	3057
182	684	3054
183	688	3053
184	692	3051
185	696	3046
186	699	3041
187	702	3035
188	706	3031
189	710	3027
190	713	3023
191	717	3018
192	720	3013
193	724	3008
194	727	3004
195	732	3002
196	735	2998
197	739	2993
198	742	2989
199	746	2985
200	749	2979
201	753	2974
202	757	2972
203	760	2966
204	763	2960
205	768	2960
206	772	2957
207	775	2952
208	778	2946
209	782	2945
210	787	2945
211	792	2945
212	797	2945
213	801	2942
214	805	2940
215	808	2933
216	811	2929
217	815	2924
218	818	2919
219	822	2914
220	825	2910
221	829	2905
222	832	2901
223	836	2897
224	839	2893
225	843	2889
226	847	2884
227	851	2881
228	854	2877
229	858	2872
230	861	2867
231	865	2865
232	870	2864
